date_date,campaign_name,ads_cost
2021-04-01,CH - SHP - All Products,9
2021-04-01,FR - DSA - Page Feed - Product,394
2021-04-01,FR - SHP - AB - Beaute & Hygiene - Smart,138
2021-04-01,FR - SHP - AB - Enfant,3
2021-04-01,FR - SHP - AB - Entretien,69
2021-04-01,FR - SHP - AB - Epicerie Salée,46
2021-04-01,FR - SHP - AB - Epicerie Sucrée,27
2021-04-01,FR - SHP - AB - Extérieur,0
2021-04-01,FR - SHP - AB - Maison - Smart,198
2021-04-01,FR - SHP - AB - Santé & Bien-être - Smart,50
2021-04-01,FR - SHP - AB - Top Marge - Smart,41
2021-04-01,FR - SHP - All Products,30
2021-04-01,FR - SHP - All Products - Smart,949
2021-04-01,FR - SHP - Couche - Smart,67
2021-04-01,FR - TXT - B - Marques,215
2021-04-01,FR - TXT - BN - Marque Greenweez,130
2021-04-01,FR - TXT - G - Générique Bio,40
2021-04-01,FR - TXT - GC - Génériques - Alimentation Bébé Bio,9
2021-04-01,FR - TXT - GC - Génériques - Beauté & Hygiène,21
2021-04-01,FR - TXT - GC - Génériques - Cuisine,42
2021-04-01,FR - TXT - GC - Génériques - Enfant,10
2021-04-01,FR - TXT - GC - Génériques - Entretien,56
2021-04-01,FR - TXT - GC - Génériques - Epicerie,38
2021-04-01,IA - COM - [ENG - ACQ] - Boost,57
2021-04-01,IA - COM - [PUR - ACQ],74
2021-04-01,IA - COM - [PUR - ACQ] - DABA,117
2021-04-01,IA - COM - [PUR - RT] - Clients Existants,58
2021-04-01,IA - COM - [PUR - RT] - DPA ex clients,114
2021-04-01,IA - COM - [PUR - RT] - Site & CRM,64
2021-04-01,criteo_lower_funnel,48
2021-04-01,criteo_mid_funnel,11
2021-04-01,criteo_seg_occasionnels,7
2021-04-02,CH - SHP - All Products,9
2021-04-02,FR - DSA - Page Feed - Product,318
2021-04-02,FR - SHP - AB - Beaute & Hygiene - Smart,120
2021-04-02,FR - SHP - AB - Enfant,3
2021-04-02,FR - SHP - AB - Entretien,58
2021-04-02,FR - SHP - AB - Epicerie Salée,46
2021-04-02,FR - SHP - AB - Epicerie Sucrée,27
2021-04-02,FR - SHP - AB - Extérieur,1
2021-04-02,FR - SHP - AB - Maison - Smart,183
2021-04-02,FR - SHP - AB - Santé & Bien-être - Smart,29
2021-04-02,FR - SHP - AB - Top Marge - Smart,35
2021-04-02,FR - SHP - All Products,28
2021-04-02,FR - SHP - All Products - Smart,978
2021-04-02,FR - SHP - Couche - Smart,84
2021-04-02,FR - TXT - B - Marques,167
2021-04-02,FR - TXT - BN - Marque Greenweez,109
2021-04-02,FR - TXT - G - Générique Bio,35
2021-04-02,FR - TXT - GC - Génériques - Alimentation Bébé Bio,5
2021-04-02,FR - TXT - GC - Génériques - Beauté & Hygiène,12
2021-04-02,FR - TXT - GC - Génériques - Cuisine,37
2021-04-02,FR - TXT - GC - Génériques - Enfant,8
2021-04-02,FR - TXT - GC - Génériques - Entretien,46
2021-04-02,FR - TXT - GC - Génériques - Epicerie,29
2021-04-02,IA - COM - [ENG - ACQ] - Boost,57
2021-04-02,IA - COM - [PUR - ACQ],74
2021-04-02,IA - COM - [PUR - ACQ] - DABA,118
2021-04-02,IA - COM - [PUR - RT] - Clients Existants,60
2021-04-02,IA - COM - [PUR - RT] - DPA ex clients,122
2021-04-02,IA - COM - [PUR - RT] - Site & CRM,65
2021-04-02,criteo_lower_funnel,42
2021-04-02,criteo_mid_funnel,14
2021-04-02,criteo_seg_occasionnels,7
2021-04-03,CH - SHP - All Products,14
2021-04-03,FR - DSA - Page Feed - Product,345
2021-04-03,FR - SHP - AB - Beaute & Hygiene - Smart,120
2021-04-03,FR - SHP - AB - Enfant,4
2021-04-03,FR - SHP - AB - Entretien,61
2021-04-03,FR - SHP - AB - Epicerie Salée,46
2021-04-03,FR - SHP - AB - Epicerie Sucrée,27
2021-04-03,FR - SHP - AB - Extérieur,1
2021-04-03,FR - SHP - AB - Maison - Smart,233
2021-04-03,FR - SHP - AB - Santé & Bien-être - Smart,41
2021-04-03,FR - SHP - AB - Top Marge - Smart,40
2021-04-03,FR - SHP - All Products,30
2021-04-03,FR - SHP - All Products - Smart,979
2021-04-03,FR - SHP - Couche - Smart,128
2021-04-03,FR - TXT - B - Marques,165
2021-04-03,FR - TXT - BN - Marque Greenweez,101
2021-04-03,FR - TXT - G - Générique Bio,39
2021-04-03,FR - TXT - GC - Génériques - Alimentation Bébé Bio,3
2021-04-03,FR - TXT - GC - Génériques - Beauté & Hygiène,33
2021-04-03,FR - TXT - GC - Génériques - Cuisine,104
2021-04-03,FR - TXT - GC - Génériques - Enfant,27
2021-04-03,FR - TXT - GC - Génériques - Entretien,50
2021-04-03,FR - TXT - GC - Génériques - Epicerie,33
2021-04-03,IA - COM - [ENG - ACQ] - Boost,56
2021-04-03,IA - COM - [PUR - ACQ],79
