date_date,orders_id,products_id,turnover,qty
2021-04-01,825407,117037,28.48,2
2021-04-01,825408,29372,1.92,2
2021-04-01,825408,70512,15.74,1
2021-04-01,825408,119246,12.07,1
2021-04-01,825408,121709,7.79,1
2021-04-01,825409,6516,5.53,2
2021-04-01,825409,6613,1.87,1
2021-04-01,825409,10336,7.01,1
2021-04-01,825409,15229,11.22,2
2021-04-01,825409,80108,3.65,1
2021-04-01,825409,88694,2.94,1
2021-04-01,825409,102344,3.51,1
2021-04-01,825409,103656,2.1,2
2021-04-01,825409,105901,5.57,1
2021-04-01,825409,107856,5.26,1
2021-04-01,825409,110004,7.09,3
2021-04-01,825409,111193,12.97,1
2021-04-01,825409,111558,5.32,1
2021-04-01,825409,113954,3.11,1
2021-04-01,825409,116807,3.16,2
2021-04-01,825409,119986,6.96,2
2021-04-01,825409,120704,16.38,1
2021-04-01,825410,27665,15.35,1
2021-04-01,825410,29819,59.8,3
2021-04-01,825410,79282,29.41,1
2021-04-01,825411,102485,19.7,1
2021-04-01,825411,121827,29.92,2
2021-04-01,825412,47161,8.54,1
2021-04-01,825412,69124,3.12,1
2021-04-01,825412,77771,3.25,1
2021-04-01,825412,81092,3.42,1
2021-04-01,825412,86047,3.62,1
2021-04-01,825412,90958,8.74,1
2021-04-01,825413,6473,3.18,1
2021-04-01,825413,6477,3.18,1
2021-04-01,825413,12799,6.32,2
2021-04-01,825413,12802,6.01,2
2021-04-01,825413,42993,5.04,4
2021-04-01,825413,42994,5.04,4
2021-04-01,825413,69756,5.31,4
2021-04-01,825413,70142,6.11,2
2021-04-01,825413,71056,5.57,4
2021-04-01,825413,73635,3.59,2
2021-04-01,825413,82927,5.31,4
2021-04-01,825413,101270,5.7,4
2021-04-01,825413,101279,5.7,4
2021-04-01,825413,101282,5.13,4
2021-04-01,825413,101782,5.43,4
2021-04-01,825413,101783,5.31,4
2021-04-01,825413,114933,3.4,1
2021-04-01,825413,120257,5.14,4
2021-04-01,825413,120263,5.42,5
2021-04-01,825414,1960,3.56,1
2021-04-01,825414,12648,8.04,1
2021-04-01,825414,83102,4.03,1
2021-04-01,825414,119897,27.49,2
2021-04-01,825415,14281,59.75,1
2021-04-01,825415,81811,18.92,1
2021-04-01,825416,28535,6.0,1
2021-04-01,825416,28536,6.2,1
2021-04-01,825416,43944,83.5,6
2021-04-01,825416,47380,18.32,8
2021-04-01,825416,68321,4.26,2
2021-04-01,825416,70293,6.0,1
2021-04-01,825416,81128,5.5,2
2021-04-01,825416,84660,2.31,1
2021-04-01,825416,86986,10.53,4
2021-04-01,825416,86989,10.5,5
2021-04-01,825416,90006,7.71,1
2021-04-01,825416,90723,10.37,1
2021-04-01,825416,96952,8.85,4
2021-04-01,825416,103458,6.79,1
2021-04-01,825416,110084,9.12,6
2021-04-01,825416,110953,9.44,4
2021-04-01,825416,112077,15.36,5
2021-04-01,825416,122145,2.49,1
2021-04-01,825416,122734,4.7,1
2021-04-01,825416,122735,2.31,1
2021-04-01,825417,116670,4.22,1
2021-04-01,825418,46955,8.9,1
2021-04-01,825418,47376,2.56,1
2021-04-01,825418,75342,10.43,1
2021-04-01,825418,81647,12.59,1
2021-04-01,825418,84029,3.47,1
2021-04-01,825418,85873,2.56,1
2021-04-01,825418,86523,1.7,1
2021-04-01,825418,87858,3.31,1
2021-04-01,825418,88216,7.71,1
2021-04-01,825418,103875,2.42,1
2021-04-01,825418,104454,3.34,1
2021-04-01,825419,19752,2.64,1
2021-04-01,825419,26277,3.98,1
2021-04-01,825419,42198,4.18,1
2021-04-01,825419,80048,3.43,1
2021-04-01,825419,85838,2.37,1
2021-04-01,825419,99312,1.39,1
2021-04-01,825419,103873,2.61,1
