orders_id,shipping_fee,log_cost,ship_cost
1002564,0,10,6
1002561,0,16.55,8
1002560,0.94,10.7,5
1002548,0.95,12.65,3
1002500,4.58,15.2,8
1002477,0.92,13.55,8
1002466,0,8.15,3
1002462,0.93,12.5,6
1002457,0.93,8.6,5
1002441,5.75,8.15,2
1002422,0.95,12.35,6
1002412,15.35,8.3,5
1002381,0.92,9.05,4
1002378,0.93,8,5
1002374,3.69,9.5,4
1002367,38.02,21.05,5
1002326,0.92,9.2,6
1002324,0.93,12.2,6
1002295,0,9.05,6
1002293,4.55,9.8,8
1002265,0.9,11.6,5
1002259,3.54,8,2
1002256,0.92,8.15,4
1002249,0.95,9.8,5
1002248,0.94,11.75,6
1002242,0.94,8.9,6
1002241,0.86,15.2,5
1002227,0.94,12.35,4
1002226,0,9.8,5
1002218,0.95,8.6,6
1002216,0.96,10.25,4
1002214,0.94,8,2
1002212,0.96,8.75,5
1002197,0.93,12.05,6
1002182,3.25,11.75,2
1002167,0.94,9.35,5
1002164,0.91,14.9,6
1002151,30.88,24.95,4
1002121,0.93,11.6,4
1002110,0.95,9.05,5
1002103,0.94,12.65,6
1002092,5.58,8.9,5
1002037,0.92,8.6,6
1002032,0.93,8,5
1002007,0.92,9.05,5
1002004,0.97,8.3,5
1001995,0.89,8,5
1001985,0.92,8,4
1001927,0.91,8,8
1001926,0.94,8.9,5
1001919,3.78,12.2,5
1001910,0.96,9.5,5
1001888,3.25,8.45,3
1001883,0.92,10.7,6
1001880,0.92,12.05,5
1001875,0.94,8.45,6
1001777,0.98,12.95,6
1001750,0.95,8,6
1001722,0.94,8.15,5
1001614,6.53,8.9,4
1001607,3.61,9.95,6
1001598,0.98,9.8,3
1001591,0,12.5,6
1001583,0.92,9.8,4
1001493,0.9,8.15,5
1001483,0,12.65,6
1001482,0.91,8.15,4
1001467,0,8.45,5
1001465,0,10.25,2
1001464,20,10.25,2
1001456,0.93,9.2,5
1001450,0.93,9.05,5
1001434,3.68,8.9,5
1001421,0.92,10.55,5
1001404,0.89,8,5
1001382,0,8,5
1001350,0.9,10.25,6
1001336,0.94,8.45,4
1001303,0.9,8.3,5
1001278,0.91,10.25,4
1001269,3.72,8.45,4
1001266,3.79,10.4,6
1001261,0.94,12.35,4
1001249,0.94,12.2,5
1001248,3.52,9.2,5
1001230,0.94,10.25,4
1001226,0.96,8.9,4
1001196,0,8.45,4
1001195,0.95,10.1,4
1001190,0.96,10.25,5
1001180,3.63,9.05,5
1001173,0.95,8,5
1001130,0.94,11,6
1001110,0,10.7,4
1001106,0.98,12.05,6
1001086,5,13.4,4
1001063,0.88,11.3,5
1001035,0.95,9.65,5
1001022,0.92,8.3,5
1001004,0.9,10.7,6
1000947,0.92,10.25,6
1000926,0.93,8.3,5
1000921,0.95,17.15,2
1000912,0.87,8.45,5
1000899,28.47,11.45,5
1000890,0.92,10.4,5
1000887,0.95,8.75,5
1000852,4.6,9.2,8
1000838,0.93,10.7,5
1000825,0.95,9.35,4
1000813,13.31,8,4
1000804,0.92,8.45,5
1000800,3.32,9.65,4
1000731,0.92,9.2,5
1000728,0.95,10.7,4
1000689,3.71,8.3,5
1000677,0.95,12.35,6
1000638,5.14,10.4,5
1000611,0.95,9.5,5
1000610,0.91,9.65,6
1000589,0,9.2,5
1000570,3.58,9.2,5
1000558,0,9.35,4
1000541,3.7,11.75,2
1000498,0.94,8.9,4
1000487,0.95,8.15,6
1000472,0.94,8,4
1000393,6.54,10.25,2
1000374,3.64,10.25,6
1000343,3.7,10.85,3
1000322,0,8.3,5
1000315,3.66,24.2,5
1000308,0.94,8.75,5
1000307,0.94,9.35,5
1000306,0.94,9.95,6
1000292,0.94,8.3,5
1000289,3.45,9.2,5
1000277,6.63,13.1,4
1000268,0.94,13.25,6
1000263,0.87,9.65,5
1000227,0.89,8.45,8
1000221,0.93,9.2,5
1000215,0.95,8.75,2
1000206,0.88,9.05,6
1000181,0.94,8.45,5
1000168,0.95,29.75,2
1000157,0.91,8.9,4
1000147,22.01,34.4,3
1000118,0.9,10.4,6
1000116,0.95,9.35,6
1000111,0.89,8.45,6
1000110,0.97,10.1,6
1000076,0.88,8.6,4
1000058,3.7,10.25,3
1000038,0.94,9.05,5
1000034,3.6,10.7,6
1000019,0.94,16.85,5
1000015,3.3,8,4
999984,0,9.35,6
999977,0,11.6,8
999976,0,9.05,3
999971,0,8.3,5
999967,0,9.95,6
999961,0.92,8.75,4
999938,0,10.85,4
999911,0,10.25,5
999910,0.93,8.3,6
999885,0,20.9,5
999880,0,8.6,5
999874,0,9.8,5
999868,0.84,10.25,4
999852,0,8.6,4
999836,0,9.95,4
999810,0,9.2,5
999778,0,17.9,4
999761,0.91,8,5
999728,23.35,14.75,4
999717,0,8.15,5
999716,0,8,5
999715,0.98,11.9,8
999711,0,8.9,6
999676,0,9.8,5
999659,0,10.25,8
999643,0,8.45,6
999623,0.94,8,5
999618,7.34,9.05,4
999603,0,9.05,4
999602,0.94,12.5,5
999583,0,9.65,5
999570,0.89,11.45,8
999555,0,8.6,6
999537,0.9,9.2,6
999535,3.58,8.15,5
999526,0,10.7,5
999522,0,9.95,5
999521,3.66,9.35,6
999495,0,8.6,6
999491,0,8.6,5
999472,0,9.05,6
999466,0,14.9,5
999374,0,8.15,5
999355,0.9,14.45,8
999344,0,11.75,6
999289,3.66,8.15,5
999288,0,10.7,5
999262,0.97,8.6,5
999258,0,8.15,5
999240,0,10.25,6
999204,0,8.45,5
999200,0.89,9.2,6
999199,0,9.35,5
999186,0.93,8,4
999184,0,9.2,5
999148,0,8.6,4
999125,0,8.75,5
999114,0,13.25,4
999098,0,9.8,8
999094,0,8.15,6
999089,3.7,10.25,2
999083,0,8.45,5
999051,0,8.9,6
999001,0,11,4
998973,0,8.45,4
998969,0,9.2,5
998959,0,9.35,6
998923,3.55,11.45,3
998901,0,8,5
998897,0,8.75,2
998871,0,8.15,4
998830,0.94,8.15,5
998821,0,8.3,5
998810,0,10.1,4
998775,0,8.15,4
998742,0,10.1,4
998709,15.69,8,3
998693,0,8.6,5
998688,0,15.05,5
998662,3.68,11.75,4
998617,0,8.9,8
998614,0,9.2,5
998608,3.66,17,6
998587,0,8.75,5
998583,0,8.15,4
998577,0,11.9,8
998566,0,9.5,4
998565,0,9.5,5
