date_date,paid_source,campaign_key,campaign_name,cost,impression,click
2021-09-28,Adwords,23985487,FR - TXT - GC - Génériques - Alimentation Bébé Bio,54.0,1403.0,63.0
2021-09-27,Adwords,23985487,FR - TXT - GC - Génériques - Alimentation Bébé Bio,55.0,1554.0,71.0
2021-06-24,Adwords,23985487,FR - TXT - GC - Génériques - Alimentation Bébé Bio,2.0,136.0,6.0
2021-06-11,Adwords,23985487,FR - TXT - GC - Génériques - Alimentation Bébé Bio,2.0,158.0,5.0
2021-06-18,Adwords,23985487,FR - TXT - GC - Génériques - Alimentation Bébé Bio,2.0,103.0,3.0
2021-06-16,Adwords,23985487,FR - TXT - GC - Génériques - Alimentation Bébé Bio,2.0,107.0,4.0
2021-06-14,Adwords,23985487,FR - TXT - GC - Génériques - Alimentation Bébé Bio,2.0,104.0,4.0
2021-06-15,Adwords,23985487,FR - TXT - GC - Génériques - Alimentation Bébé Bio,2.0,106.0,4.0
2021-09-05,Adwords,23985487,FR - TXT - GC - Génériques - Alimentation Bébé Bio,3.0,301.0,8.0
2021-06-17,Adwords,23985487,FR - TXT - GC - Génériques - Alimentation Bébé Bio,3.0,108.0,5.0
2021-06-19,Adwords,23985487,FR - TXT - GC - Génériques - Alimentation Bébé Bio,3.0,116.0,5.0
2021-06-13,Adwords,23985487,FR - TXT - GC - Génériques - Alimentation Bébé Bio,3.0,86.0,5.0
2021-06-09,Adwords,23985487,FR - TXT - GC - Génériques - Alimentation Bébé Bio,3.0,198.0,8.0
2021-06-04,Adwords,23985487,FR - TXT - GC - Génériques - Alimentation Bébé Bio,3.0,219.0,7.0
2021-07-06,Adwords,23985487,FR - TXT - GC - Génériques - Alimentation Bébé Bio,3.0,168.0,7.0
2021-06-25,Adwords,23985487,FR - TXT - GC - Génériques - Alimentation Bébé Bio,3.0,115.0,3.0
2021-06-26,Adwords,23985487,FR - TXT - GC - Génériques - Alimentation Bébé Bio,4.0,120.0,7.0
2021-08-03,Adwords,23985487,FR - TXT - GC - Génériques - Alimentation Bébé Bio,4.0,176.0,10.0
2021-08-04,Adwords,23985487,FR - TXT - GC - Génériques - Alimentation Bébé Bio,4.0,215.0,10.0
2021-07-29,Adwords,23985487,FR - TXT - GC - Génériques - Alimentation Bébé Bio,4.0,240.0,9.0
2021-06-22,Adwords,23985487,FR - TXT - GC - Génériques - Alimentation Bébé Bio,4.0,162.0,6.0
2021-06-23,Adwords,23985487,FR - TXT - GC - Génériques - Alimentation Bébé Bio,4.0,162.0,7.0
2021-07-05,Adwords,23985487,FR - TXT - GC - Génériques - Alimentation Bébé Bio,4.0,165.0,8.0
2021-09-03,Adwords,23985487,FR - TXT - GC - Génériques - Alimentation Bébé Bio,4.0,328.0,10.0
2021-07-30,Adwords,23985487,FR - TXT - GC - Génériques - Alimentation Bébé Bio,4.0,255.0,12.0
2021-07-01,Adwords,23985487,FR - TXT - GC - Génériques - Alimentation Bébé Bio,5.0,218.0,12.0
2021-07-11,Adwords,23985487,FR - TXT - GC - Génériques - Alimentation Bébé Bio,5.0,272.0,14.0
2021-06-21,Adwords,23985487,FR - TXT - GC - Génériques - Alimentation Bébé Bio,5.0,172.0,10.0
2021-07-04,Adwords,23985487,FR - TXT - GC - Génériques - Alimentation Bébé Bio,5.0,200.0,9.0
2021-06-07,Adwords,23985487,FR - TXT - GC - Génériques - Alimentation Bébé Bio,5.0,252.0,11.0
2021-06-27,Adwords,23985487,FR - TXT - GC - Génériques - Alimentation Bébé Bio,5.0,205.0,9.0
2021-07-28,Adwords,23985487,FR - TXT - GC - Génériques - Alimentation Bébé Bio,5.0,298.0,13.0
2021-07-22,Adwords,23985487,FR - TXT - GC - Génériques - Alimentation Bébé Bio,5.0,268.0,10.0
2021-06-08,Adwords,23985487,FR - TXT - GC - Génériques - Alimentation Bébé Bio,5.0,232.0,11.0
2021-09-02,Adwords,23985487,FR - TXT - GC - Génériques - Alimentation Bébé Bio,5.0,348.0,15.0
2021-06-20,Adwords,23985487,FR - TXT - GC - Génériques - Alimentation Bébé Bio,5.0,124.0,8.0
2021-09-04,Adwords,23985487,FR - TXT - GC - Génériques - Alimentation Bébé Bio,6.0,281.0,13.0
2021-07-18,Adwords,23985487,FR - TXT - GC - Génériques - Alimentation Bébé Bio,6.0,254.0,11.0
2021-06-01,Adwords,23985487,FR - TXT - GC - Génériques - Alimentation Bébé Bio,6.0,271.0,15.0
2021-06-06,Adwords,23985487,FR - TXT - GC - Génériques - Alimentation Bébé Bio,6.0,238.0,11.0
2021-07-31,Adwords,23985487,FR - TXT - GC - Génériques - Alimentation Bébé Bio,6.0,224.0,11.0
2021-07-02,Adwords,23985487,FR - TXT - GC - Génériques - Alimentation Bébé Bio,6.0,237.0,11.0
2021-07-10,Adwords,23985487,FR - TXT - GC - Génériques - Alimentation Bébé Bio,6.0,209.0,11.0
2021-06-12,Adwords,23985487,FR - TXT - GC - Génériques - Alimentation Bébé Bio,6.0,121.0,9.0
2021-07-24,Adwords,23985487,FR - TXT - GC - Génériques - Alimentation Bébé Bio,6.0,268.0,14.0
2021-07-20,Adwords,23985487,FR - TXT - GC - Génériques - Alimentation Bébé Bio,6.0,199.0,9.0
2021-06-05,Adwords,23985487,FR - TXT - GC - Génériques - Alimentation Bébé Bio,6.0,202.0,10.0
2021-08-21,Adwords,23985487,FR - TXT - GC - Génériques - Alimentation Bébé Bio,7.0,273.0,12.0
2021-08-02,Adwords,23985487,FR - TXT - GC - Génériques - Alimentation Bébé Bio,7.0,240.0,13.0
2021-06-28,Adwords,23985487,FR - TXT - GC - Génériques - Alimentation Bébé Bio,7.0,228.0,11.0
2021-07-19,Adwords,23985487,FR - TXT - GC - Génériques - Alimentation Bébé Bio,7.0,258.0,11.0
2021-09-01,Adwords,23985487,FR - TXT - GC - Génériques - Alimentation Bébé Bio,7.0,333.0,17.0
2021-07-07,Adwords,23985487,FR - TXT - GC - Génériques - Alimentation Bébé Bio,7.0,194.0,8.0
2021-06-10,Adwords,23985487,FR - TXT - GC - Génériques - Alimentation Bébé Bio,7.0,167.0,10.0
2021-08-20,Adwords,23985487,FR - TXT - GC - Génériques - Alimentation Bébé Bio,7.0,323.0,14.0
2021-07-09,Adwords,23985487,FR - TXT - GC - Génériques - Alimentation Bébé Bio,7.0,229.0,12.0
2021-07-08,Adwords,23985487,FR - TXT - GC - Génériques - Alimentation Bébé Bio,7.0,248.0,11.0
2021-08-22,Adwords,23985487,FR - TXT - GC - Génériques - Alimentation Bébé Bio,7.0,318.0,15.0
2021-08-05,Adwords,23985487,FR - TXT - GC - Génériques - Alimentation Bébé Bio,8.0,367.0,14.0
2021-09-07,Adwords,23985487,FR - TXT - GC - Génériques - Alimentation Bébé Bio,8.0,405.0,17.0
2021-07-27,Adwords,23985487,FR - TXT - GC - Génériques - Alimentation Bébé Bio,8.0,367.0,16.0
2021-07-21,Adwords,23985487,FR - TXT - GC - Génériques - Alimentation Bébé Bio,8.0,282.0,12.0
2021-08-27,Adwords,23985487,FR - TXT - GC - Génériques - Alimentation Bébé Bio,8.0,412.0,17.0
2021-08-15,Adwords,23985487,FR - TXT - GC - Génériques - Alimentation Bébé Bio,8.0,337.0,15.0
2021-08-07,Adwords,23985487,FR - TXT - GC - Génériques - Alimentation Bébé Bio,8.0,383.0,17.0
2021-08-01,Adwords,23985487,FR - TXT - GC - Génériques - Alimentation Bébé Bio,8.0,195.0,9.0
2021-07-26,Adwords,23985487,FR - TXT - GC - Génériques - Alimentation Bébé Bio,8.0,402.0,19.0
2021-06-29,Adwords,23985487,FR - TXT - GC - Génériques - Alimentation Bébé Bio,8.0,220.0,11.0
2021-08-23,Adwords,23985487,FR - TXT - GC - Génériques - Alimentation Bébé Bio,8.0,371.0,15.0
2021-06-03,Adwords,23985487,FR - TXT - GC - Génériques - Alimentation Bébé Bio,8.0,285.0,15.0
2021-06-30,Adwords,23985487,FR - TXT - GC - Génériques - Alimentation Bébé Bio,8.0,253.0,12.0
2021-07-16,Adwords,23985487,FR - TXT - GC - Génériques - Alimentation Bébé Bio,9.0,371.0,15.0
2021-08-12,Adwords,23985487,FR - TXT - GC - Génériques - Alimentation Bébé Bio,9.0,452.0,17.0
2021-08-10,Adwords,23985487,FR - TXT - GC - Génériques - Alimentation Bébé Bio,9.0,387.0,19.0
2021-08-08,Adwords,23985487,FR - TXT - GC - Génériques - Alimentation Bébé Bio,9.0,404.0,18.0
2021-08-19,Adwords,23985487,FR - TXT - GC - Génériques - Alimentation Bébé Bio,9.0,368.0,18.0
2021-07-23,Adwords,23985487,FR - TXT - GC - Génériques - Alimentation Bébé Bio,9.0,264.0,18.0
2021-07-03,Adwords,23985487,FR - TXT - GC - Génériques - Alimentation Bébé Bio,9.0,251.0,13.0
2021-06-02,Adwords,23985487,FR - TXT - GC - Génériques - Alimentation Bébé Bio,9.0,261.0,20.0
2021-07-17,Adwords,23985487,FR - TXT - GC - Génériques - Alimentation Bébé Bio,9.0,327.0,17.0
2021-07-25,Adwords,23985487,FR - TXT - GC - Génériques - Alimentation Bébé Bio,10.0,375.0,18.0
2021-08-06,Adwords,23985487,FR - TXT - GC - Génériques - Alimentation Bébé Bio,10.0,338.0,18.0
2021-08-26,Adwords,23985487,FR - TXT - GC - Génériques - Alimentation Bébé Bio,11.0,439.0,21.0
2021-08-17,Adwords,23985487,FR - TXT - GC - Génériques - Alimentation Bébé Bio,11.0,423.0,25.0
2021-08-31,Adwords,23985487,FR - TXT - GC - Génériques - Alimentation Bébé Bio,11.0,360.0,15.0
2021-07-12,Adwords,23985487,FR - TXT - GC - Génériques - Alimentation Bébé Bio,11.0,433.0,19.0
2021-08-28,Adwords,23985487,FR - TXT - GC - Génériques - Alimentation Bébé Bio,12.0,407.0,20.0
2021-08-14,Adwords,23985487,FR - TXT - GC - Génériques - Alimentation Bébé Bio,12.0,338.0,15.0
