date_date,paid_source,campaign_key,campaign_name,cost,impression,click
2021-06-16,Bing,FR - SHP - All Products,FR - SHP - All Products,76.0,101249.0,461.0
2021-07-18,Bing,FR - SHP - All Products,FR - SHP - All Products,88.0,60144.0,428.0
2021-08-08,Bing,FR - SHP - All Products,FR - SHP - All Products,92.0,71423.0,464.0
2021-06-26,Bing,FR - SHP - All Products,FR - SHP - All Products,92.0,72200.0,483.0
2021-06-17,Bing,FR - SHP - All Products,FR - SHP - All Products,96.0,100263.0,537.0
2021-08-07,Bing,FR - SHP - All Products,FR - SHP - All Products,104.0,76692.0,529.0
2021-08-06,Bing,FR - SHP - All Products,FR - SHP - All Products,108.0,80057.0,511.0
2021-06-15,Bing,FR - SHP - All Products,FR - SHP - All Products,112.0,106056.0,575.0
2021-07-20,Bing,FR - SHP - All Products,FR - SHP - All Products,116.0,74324.0,528.0
2021-06-12,Bing,FR - SHP - All Products,FR - SHP - All Products,120.0,97549.0,507.0
2021-08-31,Bing,FR - SHP - All Products,FR - SHP - All Products,120.0,91826.0,834.0
2021-07-23,Bing,FR - SHP - All Products,FR - SHP - All Products,120.0,78803.0,507.0
2021-07-13,Bing,FR - SHP - All Products,FR - SHP - All Products,124.0,80033.0,588.0
2021-08-18,Bing,FR - SHP - All Products,FR - SHP - All Products,124.0,90641.0,706.0
2021-07-22,Bing,FR - SHP - All Products,FR - SHP - All Products,128.0,83426.0,563.0
2021-08-12,Bing,FR - SHP - All Products,FR - SHP - All Products,152.0,82718.0,665.0
2021-09-30,Bing,FR - SHP - All Products,FR - SHP - All Products,168.0,113447.0,870.0
2021-09-13,Bing,FR - SHP - All Products,FR - SHP - All Products,176.0,113610.0,961.0
2021-07-12,Bing,FR - SHP - All Products,FR - SHP - All Products,232.0,96699.0,679.0
2021-09-21,Bing,FR - SHP - All Products,FR - SHP - All Products,240.0,131682.0,987.0
2021-09-26,Bing,FR - SHP - All Products,FR - SHP - All Products,240.0,114978.0,931.0
2021-07-27,Bing,FR - SHP - All Products,FR - SHP - All Products,240.0,129604.0,819.0
2021-09-27,Bing,FR - SHP - All Products,FR - SHP - All Products,369.0,164774.0,1313.0
2021-08-20,Bing,FR - SHP - All Products,FR - SHP - All Products,129.0,82236.0,723.0
2021-08-27,Bing,FR - SHP - All Products,FR - SHP - All Products,137.0,85924.0,754.0
2021-09-10,Bing,FR - SHP - All Products,FR - SHP - All Products,161.0,99959.0,804.0
2021-08-03,Bing,FR - SHP - All Products,FR - SHP - All Products,161.0,103394.0,706.0
2021-09-11,Bing,FR - SHP - All Products,FR - SHP - All Products,177.0,99696.0,831.0
2021-09-22,Bing,FR - SHP - All Products,FR - SHP - All Products,201.0,113499.0,896.0
2021-06-28,Bing,FR - SHP - All Products,FR - SHP - All Products,201.0,111059.0,756.0
