date_date,product_id,qty
2021-06-01,BR001P1-JL02-W_BL_S,3
2021-06-01,TSC001P3-FJ01-W_BL_M,8
2021-06-01,TS001BTB-MAM01_U_BL_XS,24
2021-06-01,LG002P3-JL02-W_NA_XL,2
2021-06-01,TK001P3-FJ01-M_MO_S,4
2021-06-01,SH15001P3-JL02-W_NA_XS,3
2021-06-01,TS001P3-FJ01-U_LI_S,1
2021-06-01,TK001P3-FJ01-W_LI_M,2
2021-06-01,TS001P3-FJ01-W_MO_XS,1
2021-06-01,TK002P3-FJ01-W_MO_M,4
2021-06-01,TK002P3-FJ01-W_MO_S,3
2021-06-01,BR002P3-JL02-W_BU_XXL,1
2021-06-01,SHNB003P02-SL01_BL_XS,1
2021-06-01,LG002P3-JL02-W_BU_XL,6
2021-06-01,TS001P4-FJ01-U_BL_S,7
2021-06-01,LS001P3-SL02-W_BL_M,15
2021-06-01,TS001P1-TT01-U_GC_L,1
2021-06-01,TS001P3-TT01-W_GG_S,2
2021-06-01,TS001P4-FJ01-U_BL_M,3
2021-06-01,LS001P3-SL02-W_GR_L,5
2021-06-01,LG003P3-JL02-M_MO_M,2
2021-06-01,SH004P2-JL02-M_MO_S,6
2021-06-01,TS001BTB-MAM01_U_WH_S,3
2021-06-01,TS001P4-FJ01-U_BL_XL,3
2021-06-01,BR001P3-JL02-W_MO_S,7
2021-06-01,ACC004-B03-POP-L_ALU_L,6
2021-06-01,TK001P3-FJ01-W_LI_XL,1
2021-06-01,TS001P3-FJ01_U_WH_M,10
2021-06-01,SH004P2-JL02-M_NA_S,1
2021-06-01,SH002P3-JL02-W_NA_M,1
2021-06-01,BR001P1-JL02-W_BL_XL,1
2021-06-01,BR001P3-JL02-W_EB_XS,5
2021-06-01,TS001BTB-MAM01_U_BL_L,6
2021-06-01,TS001BTB-MARATHON01-MAM01-U_NA_XL,4
2021-06-01,LS001P3-SL02-W_GR_M,10
2021-06-01,TK002P3-FJ01-W_MO_XS,1
2021-06-01,LG002P3-JL02-W_MO_XL,2
2021-06-01,BR001P3-JL02-W_NA_S,1
2021-06-01,SH004P2-JL02-M_NA_L,7
2021-06-01,LS001P3-SL02-M_GR_S,1
2021-06-01,TS001P3-FJ01_U_WH_XL,1
2021-06-01,LG002AR01-JL02-W_BL_XXL,1
2021-06-01,LG002AR01-JL02-W_BL_XL,2
2021-06-01,TK001P3-FJ01_W_BL_M,1
2021-06-01,SH004P2-JL02-M_NA_M,1
2021-06-01,TS001P3-FJ01-W_BL_XL,1
2021-06-01,SH004P2-JL02-M_BL_M,18
2021-06-01,SH002P3-JL02-W_MO_M,3
2021-06-01,TS001BTB-MAM01_U_WH_XS,33
2021-06-01,TS001P3-FJ01_U_BL_M,7
2021-06-01,SH002P3-JL02-W_MO_S,2
2021-06-01,SHNB003P02-SL01_LI_S,5
2021-06-01,SHNB003P02-SL01_MO_M,2
2021-06-01,LG002P3-JL02-W_NA_XS,1
2021-06-01,BR002P3-JL02-W_BU_L,2
2021-06-01,TK001P3-FJ01-M_SA_M,1
2021-06-01,TS001P3-FJ01_U_BL_S,6
2021-06-01,TS001P3-FJ01_U_MO_M,8
2021-06-01,SHNB003P02-SL01_BL_L,1
2021-06-01,SH004P2-JL02-M_MO_L,1
2021-06-01,LS001P3-SL02-W_GR_S,6
2021-06-01,SH002P3-JL02-W_MO_XL,4
2021-06-01,SH15001P3-JL02-W_BL_M,4
2021-06-01,TK001P3-TT01-W_GG_M,6
2021-06-01,LS001P3-SL02-M_BL_S,5
2021-06-01,LG002P3-JL02-W_EB_M,2
2021-06-01,TS001P4-FJ01-U_SA_M,2
2021-06-01,TS001P3-FJ01_U_BL_XXL,1
2021-06-01,LG002P3-JL02-W_MO_M,4
2021-06-01,BR002P3-JL02-W_NA_XL,2
2021-06-01,BR001P3-JL02-W_NA_L,3
2021-06-01,BR002P3-JL02-W_MO_M,1
2021-06-01,SH002P3-JL02-W_NA_S,2
2021-06-01,BR002P3-JL02-W_NA_L,2
2021-06-01,BR001P3-JL02-W_MO_XL,3
2021-06-01,SHNB003P02-SL01_LI_M,1
2021-06-01,LG003P3-JL02-M_BL_M,8
2021-06-01,LG002P3-JL02-W_BU_XS,1
2021-06-01,SH002P3-JL02-W_BL_S,1
2021-06-01,SH002P3-JL02-W_NA_XL,4
2021-06-01,SN001P01-JL01-U_MO_,1
2021-06-01,TK001P3-TT01-W_GG_L,1
2021-06-01,ACC002-B02-PI-S_PI_S,1
2021-06-01,LG003P3-JL02-M_BL_XL,1
2021-06-01,LS001P3-SL02-W_GR_XS,6
2021-06-01,LS001P3-SL02-W_BL_L,30
2021-06-01,TSC001P3-FJ01-W_MO_M,1
2021-06-01,SH004P2-JL02-M_BL_L,1
2021-06-01,ACC003-M01-WH_WH_n/a,1
2021-06-01,TK001P3-FJ01-M_BL_M,5
2021-06-01,TS001BTB-MAM01_U_WH_L,22
2021-06-01,BR001P1-JL02-W_BL_XS,1
2021-06-01,TS001P3-FJ01-W_BL_L,9
2021-06-01,SHNB003P02-SL01_BL_XXL,2
2021-06-01,TS001P3-FJ01-W_BL_S,19
2021-06-01,TS001BTB-MAM01_U_WH_M,92
2021-06-01,BR001P3-JL02-W_MO_M,11
2021-06-01,BR002P3-JL02-W_BU_M,3
2021-06-01,TS001P3-FJ01_U_WH_L,4
2021-06-01,LG002P3-JL02-W_BU_M,6
2021-06-01,SH15001P3-JL02-W_EB_M,1
2021-06-01,LG53001P3-JL02-W_BL_M,8
2021-06-01,TS001P3-FJ01_U_BL_L,2
2021-06-01,SH15001P3-JL02-W_NA_L,2
2021-06-01,LS001P3-SL02-M_GR_M,1
2021-06-01,TS001P3-FJ01_U_BL_XS,3
2021-06-01,LG002AR01-JL02-W_BL_L,3
2021-06-01,BR002P3-JL02-W_NA_M,3
2021-06-01,BR002P3-JL02-W_MO_XL,1
2021-06-01,TS001P3-TT01-W_GG_XS,1
2021-06-01,LS001P3-SL02-M_BL_M,6
2021-06-01,LG002P3-JL02-W_BU_XXL,2
2021-06-01,BR001P3-JL02-W_NA_XS,1
2021-06-01,BR002P3-JL02-W_EB_M,2
2021-06-01,TS001BTB-MAM01_U_BL_M,28
2021-06-01,BR002P3-JL02-W_MO_S,8
