model_id,model_name,color,color_name,size,new,forecast_stock,stock,price
ACC001-B01-BL-L,Gourde plastique recyclé - Protect 750 ml,BL,Black,L,0,0,0,6
ACC002-B02-PI-S,Gourde - Sunrise 500 ml,PI,Recycled plastic,S,0,0,0,6
ACC003-M01-WH,Tapis de yoga recyclé - F3,WH,White,,0,37,37,8
ACC004-B03-POP-L,Gourde - Protect 750 ml,ALU,Aluminium,L,0,48,36,10
ACC005-B04-SUN-S,Gourde - Protect 600 ml,ALU,Aluminium,M,0,26,26,10
ACC006AR01-M02,Tapis de yoga - Alexandra Rosenfeld - Cork,CO,Cork,,0,20,20,15
ACC007AR01-B05-L,Gourde Alexandre Rosenfeld,WH,White,M,0,21,13,12
BR001AR01-JL02-W,BRASSIERE YVETTE,BL,Black,M,1,100,100,24
BR001AR01-JL02-W,BRASSIERE YVETTE,BL,Black,L,1,50,50,24
BR001AR01-JL02-W,BRASSIERE YVETTE,BL,Black,S,1,40,40,24
BR001AR01-JL02-W,BRASSIERE YVETTE,BL,Black,XL,1,30,30,24
BR001AR01-JL02-W,BRASSIERE YVETTE,BL,Black,XS,1,20,20,24
BR001AR01-JL02-W,BRASSIERE YVETTE,BL,Black,XXL,1,10,10,24
BR001P1-JL02-W,Brassière Support Me Softly,BL,Black,M,0,165,129,16
BR001P1-JL02-W,Brassière Support Me Softly,BL,Black,S,0,104,104,16
BR001P1-JL02-W,Brassière Support Me Softly,BL,Black,L,0,69,69,16
BR001P1-JL02-W,Brassière Support Me Softly,BL,Black,XS,0,46,22,16
BR001P1-JL02-W,Brassière Support Me Softly,BL,Black,XXL,0,41,17,16
BR001P1-JL02-W,Brassière Support Me Softly,BL,Black,XL,0,32,8,16
BR001P3-JL02-W,Brassière Support Me Softly,MO,Moss,M,0,620,620,21
BR001P3-JL02-W,Brassière Support Me Softly,MO,Moss,XL,0,95,95,21
BR001P3-JL02-W,Brassière Support Me Softly,NA,Navy,M,0,179,74,21
BR001P3-JL02-W,Brassière Support Me Softly,EB,Electric Blue,M,0,81,69,21
BR001P3-JL02-W,Brassière Support Me Softly,MO,Moss,S,0,75,55,21
BR001P3-JL02-W,Brassière Support Me Softly,NA,Navy,L,0,54,42,21
BR001P3-JL02-W,Brassière Support Me Softly,MO,Moss,L,0,75,39,21
BR001P3-JL02-W,Brassière Support Me Softly,EB,Electric Blue,S,0,54,38,21
BR001P3-JL02-W,Brassière Support Me Softly,NA,Navy,XS,0,22,22,21
BR001P3-JL02-W,Brassière Support Me Softly,NA,Navy,XL,0,49,19,21
BR001P3-JL02-W,Brassière Support Me Softly,EB,Electric Blue,XL,0,20,10,21
BR001P3-JL02-W,Brassière Support Me Softly,MO,Moss,XS,0,0,0,21
BR001P3-JL02-W,Brassière Support Me Softly,NA,Navy,S,0,0,0,21
BR001P3-JL02-W,Brassière Support Me Softly,EB,Electric Blue,XS,0,0,0,21
BR001P3-JL02-W,Brassière Support Me Softly,EB,Electric Blue,L,0,0,0,21
BR001P3-JL02-W,Brassière Support Me Softly,EB,Electric Blue,XXL,0,0,0,21
BR002P3-JL02-W,Brassière Level Up,MO,Moss,XL,0,309,309,21
BR002P3-JL02-W,Brassière Level Up,EB,Electric Blue,S,0,307,307,21
BR002P3-JL02-W,Brassière Level Up,EB,Electric Blue,M,0,266,266,21
BR002P3-JL02-W,Brassière Level Up,EB,Electric Blue,L,0,145,145,21
BR002P3-JL02-W,Brassière Level Up,BL,Black,L,0,140,140,21
BR002P3-JL02-W,Brassière Level Up,MO,Moss,M,0,130,130,21
BR002P3-JL02-W,Brassière Level Up,BU,Burgundy Red,M,0,127,127,21
BR002P3-JL02-W,Brassière Level Up,MO,Moss,L,0,112,112,21
BR002P3-JL02-W,Brassière Level Up,BL,Black,S,0,101,101,21
BR002P3-JL02-W,Brassière Level Up,BL,Black,XL,0,84,84,21
BR002P3-JL02-W,Brassière Level Up,BL,Black,M,0,74,74,21
BR002P3-JL02-W,Brassière Level Up,BL,Black,XS,0,67,67,21
BR002P3-JL02-W,Brassière Level Up,EB,Electric Blue,XS,0,66,66,21
BR002P3-JL02-W,Brassière Level Up,BU,Burgundy Red,L,0,52,52,21
BR002P3-JL02-W,Brassière Level Up,BU,Burgundy Red,XXL,0,52,52,21
BR002P3-JL02-W,Brassière Level Up,BU,Burgundy Red,XL,0,46,46,21
BR002P3-JL02-W,Brassière Level Up,BU,Burgundy Red,XS,0,39,39,21
BR002P3-JL02-W,Brassière Level Up,NA,Navy,S,0,47,35,21
BR002P3-JL02-W,Brassière Level Up,BL,Black,XXL,0,29,17,21
BR002P3-JL02-W,Brassière Level Up,MO,Moss,XXL,0,31,13,21
BR002P3-JL02-W,Brassière Level Up,NA,Navy,XXL,0,13,13,21
BR002P3-JL02-W,Brassière Level Up,NA,Navy,L,0,12,12,21
BR002P3-JL02-W,Brassière Level Up,EB,Electric Blue,XXL,0,10,10,21
BR002P3-JL02-W,Brassière Level Up,NA,Navy,XL,0,22,10,21
BR002P3-JL02-W,Brassière Level Up,EB,Electric Blue,XL,0,9,9,21
BR002P3-JL02-W,Brassière Level Up,NA,Navy,XS,0,9,9,21
BR002P3-JL02-W,Brassière Level Up,BU,Burgundy Red,S,0,36,9,21
BR002P3-JL02-W,Brassière Level Up,MO,Moss,XS,0,14,8,21
BR002P3-JL02-W,Brassière Level Up,NA,Navy,M,0,1,1,21
BR002P3-JL02-W,Brassière Level Up,MO,Moss,S,0,84,0,21
LG001P1-JL02-W,Legging Get in Shape,BL,Black,S,0,131,131,21
LG001P1-JL02-W,Legging Get in Shape,BL,Black,M,0,105,85,21
LG001P1-JL02-W,Legging Get in Shape,BL,Black,XS,0,63,63,21
LG001P1-JL02-W,Legging Get in Shape,BL,Black,L,0,61,61,21
LG001P1-JL02-W,Legging Get in Shape,BL,Black,XL,0,0,0,21
LG002AR01-JL02-W,Legging Ava,BL,Black,M,0,83,83,24
LG002AR01-JL02-W,Legging Ava,BL,Black,S,0,60,60,24
LG002AR01-JL02-W,Legging Ava,BL,Black,L,0,63,33,24
LG002AR01-JL02-W,Legging Ava,BL,Black,XL,0,66,16,24
LG002AR01-JL02-W,Legging Ava,BL,Black,XXL,0,61,11,24
LG002AR01-JL02-W,Legging Ava,BL,Black,XS,0,58,8,24
LG002P3-JL02-W,Legging Get in Shape,MO,Moss,M,0,326,326,21
LG002P3-JL02-W,Legging Get in Shape,MO,Moss,L,0,54,54,21
LG002P3-JL02-W,Legging Get in Shape,BU,Burgundy Red,M,0,148,52,21
LG002P3-JL02-W,Legging Get in Shape,NA,Navy,M,0,51,51,21
LG002P3-JL02-W,Legging Get in Shape,EB,Electric Blue,M,0,43,43,21
LG002P3-JL02-W,Legging Get in Shape,MO,Moss,XL,0,42,42,21
LG002P3-JL02-W,Legging Get in Shape,EB,Electric Blue,S,0,63,39,21
LG002P3-JL02-W,Legging Get in Shape,BU,Burgundy Red,S,0,57,37,21
LG002P3-JL02-W,Legging Get in Shape,BU,Burgundy Red,L,0,34,34,21
LG002P3-JL02-W,Legging Get in Shape,EB,Electric Blue,L,0,40,34,21
LG002P3-JL02-W,Legging Get in Shape,NA,Navy,L,0,42,26,21
LG002P3-JL02-W,Legging Get in Shape,EB,Electric Blue,XL,0,36,24,21
LG002P3-JL02-W,Legging Get in Shape,EB,Electric Blue,XS,0,23,23,21
LG002P3-JL02-W,Legging Get in Shape,NA,Navy,S,0,46,22,21
LG002P3-JL02-W,Legging Get in Shape,NA,Navy,XL,0,33,21,21
LG002P3-JL02-W,Legging Get in Shape,EB,Electric Blue,XXL,0,20,20,21
LG002P3-JL02-W,Legging Get in Shape,MO,Moss,S,0,19,19,21
LG002P3-JL02-W,Legging Get in Shape,BU,Burgundy Red,XS,0,25,17,21
LG002P3-JL02-W,Legging Get in Shape,NA,Navy,XS,0,14,14,21
LG002P3-JL02-W,Legging Get in Shape,MO,Moss,XS,0,10,10,21
